case_type,seed,node_id,rank,support_id,support_similarity,support_label,support_label_name,target_gold,target_gold_name
routed_correction,2,11654,1,11169,0.9986,1,Bot,1,Bot
routed_correction,2,11654,2,11755,0.9984,1,Bot,1,Bot
routed_correction,2,11654,3,8081,0.9980,1,Bot,1,Bot
routed_correction,2,11654,4,9439,0.9979,1,Bot,1,Bot
routed_correction,2,11654,5,11775,0.9978,1,Bot,1,Bot
routed_correction,2,11654,6,4265,0.9975,0,Human,1,Bot
routed_correction,2,11654,7,10761,0.9975,1,Bot,1,Bot
routed_correction,2,11654,8,9616,0.9974,1,Bot,1,Bot
nonrouted_preservation,2,10967,1,11258,0.9987,1,Bot,1,Bot
nonrouted_preservation,2,10967,2,293,0.9985,1,Bot,1,Bot
nonrouted_preservation,2,10967,3,6544,0.9983,0,Human,1,Bot
nonrouted_preservation,2,10967,4,2815,0.9982,1,Bot,1,Bot
nonrouted_preservation,2,10967,5,3554,0.9982,0,Human,1,Bot
nonrouted_preservation,2,10967,6,11265,0.9981,1,Bot,1,Bot
nonrouted_preservation,2,10967,7,4269,0.9980,1,Bot,1,Bot
nonrouted_preservation,2,10967,8,9347,0.9980,1,Bot,1,Bot
